Id;Proveedor;Adm  Impactos;Seguimiento;ID UM;Última actualización
882;Ubermetrics;GSK Oncología;Empresa (Ub);1571839415 1. Empresa;
883;Ubermetrics;GSK Oncología;Sector (Ub);1571839416 2. Sector;
799;Ubermetrics;GSK Respiratorio;Competencia (Ub);1359539804 3. Competencia;31/12/2020 09:37
798;Ubermetrics;GSK Respiratorio;Empresa (Ub);1359539803 1. Empresa;31/12/2020 09:38
800;Ubermetrics;GSK Respiratorio;Sector (Ub);1359539805 2. Sector;31/12/2020 09:41
819;Ubermetrics;GSK SIDA. ViiV Healthcare;Competencia (Ub);1359536344 3. Competencia;
795;Ubermetrics;GSK SIDA. ViiV Healthcare;Gsk sida viiv healthcare (Ub);1359536343 1. ViiV Healthcare;31/12/2020 09:43
820;Ubermetrics;GSK SIDA. ViiV Healthcare;Sector (Ub);1359536345 2. Sector;
823;Ubermetrics;GSK Vacunas;GSK vacunas (Ub);1437987855 GSK vacunas;
825;Ubermetrics;GSK Vacunas;Redes Sociales Vacuna Malaria (Ub);1437987881 Redes Sociales Vacuna Malaria;
824;Ubermetrics;GSK Vacunas;Sector vacunas (Ub);1437987866 Sector vacunas;
845;Ubermetrics;JANSSEN-CILAG;Crisis opioides (Ub);1566821880 Crisis opioides;
832;Ubermetrics;JANSSEN-CILAG;JANSSEN (Ub);1359972450 JANSSEN;
844;Ubermetrics;JANSSEN-CILAG;Janssen y sector HIPERTENSIÓN PULMONAR (Ub);1557820114 Janssen y sector HIPERTENSIÓN PULMONAR;
841;Ubermetrics;JANSSEN-CILAG;Janssen y sector INMUNO (Ub);1526031200 Janssen y sector INMUNO;
842;Ubermetrics;JANSSEN-CILAG;Janssen y sector PSIQUIATRIA (Ub);1526031223 Janssen y sector PSIQUIATRIA;
840;Ubermetrics;JANSSEN-CILAG;LILLY (Ub);1445335954 LILLY;
839;Ubermetrics;JANSSEN-CILAG;Psiquiatría Aripiprazol ABILIFY MAINT (Ub);1425402574 Psiquiatría Aripiprazol ABILIFY MAINTE…;
837;Ubermetrics;JANSSEN-CILAG;Psoriasis Adalimumab HUMIRA (abbvie) (Ub);1425402463 Psoriasis Adalimumab HUMIRA (abbvie);
838;Ubermetrics;JANSSEN-CILAG;Psoriasis Etanercept ENBREL (Pfizer) (Ub);1425402524 Psoriasis Etanercept ENBREL (Pfizer);
836;Ubermetrics;JANSSEN-CILAG;Psoriasis Secukinumab COSENTYX (Novartis) (Ub);1425402393 Psoriasis Secukinumab COSENTYX (Novart…;
834;Ubermetrics;JANSSEN-CILAG;Redes Sociales (Ub);1361962502 4. Redes Sociales;
833;Ubermetrics;JANSSEN-CILAG;Sector Inmunology y Psiquiatria (Ub);1359972451 2. Sector Inmunology y Psiquiatria;
862;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;4S Trauma (Ub);1588925528 4S Trauma;
863;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Butterfly (Ub);1591168691 Butterfly;
858;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Cardiología (Ub);1549019634 Cardiología;
854;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Care Advantage (Ub);1499429340 Care Advantage;
859;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Cirugías varias (Ub);1549019785 Cirugías varias;
853;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Competencia (Ub);1433777974 3. Competencia;
855;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Obesidad (Ub);1549019377 Obesidad;
857;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Oncología (Ub);1549019538 Oncología;
860;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Sector (Ub);1578484619 2. Sector;
861;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES;Visión (Ub);1578485883 Visión;
808;Ubermetrics;JOHNSON & JOHNSON MEDICAL DEVICES, JANSSEN-CILAG;Empresa (Ub);1433777972 1. Empresa;31/12/2020 10:02
803;Ubermetrics;MSD Corporativo, MSD Oncología, MSD Inmunología, MSD Virología;MSD (Ub);1359545821 1. MSD;31/12/2020 10:08
869;Ubermetrics;MSD Inmunología;Biológicos (Ub);1481538392 Biológicos;
867;Ubermetrics;MSD Inmunología;Biosimilares (Ub);1481535055 2. Biosimilares;
868;Ubermetrics;MSD Inmunología;Competencia Anti TNF (Ub);1481535056 3. Competencia Anti TNF;
866;Ubermetrics;MSD Inmunología;Empresa (Ub);1481535054 1. Empresa;
870;Ubermetrics;MSD Inmunología;Sector inmunología (Ub);1484037126 Sector inmunología;
884;Ubermetrics;MSD Oncología;Empresa (Ub);1571991602 1. Empresa;
885;Ubermetrics;MSD Oncología;Ontruzant (trastuzumab biosimilar) (Ub);1571991907 Ontruzant (trastuzumab biosimilar);
847;Ubermetrics;MSD Virología;Empresa (Ub);1428589305 1. Empresa;
849;Ubermetrics;MSD Virología;EMPRESA _VIH (Ub);1428589801 EMPRESA _VIH;
848;Ubermetrics;MSD Virología;Sector (Ub);1428589306 2. Sector;
850;Ubermetrics;MSD Virología;SECTOR _VIH (Ub);1428590041 SECTOR _VIH;
893;Ubermetrics;MSD Virología, MSD Oncología, MSD Inmunología, MSD Corporativo;Empresa (Ub);;
881;Ubermetrics;PIERRE FABRE;Empresa (Ub);1567419713 1. Empresa;
817;Ubermetrics;Ratiopharm;MIGRAÑA (Ub);1550060611 MIGRAÑA;
818;Ubermetrics;Ratiopharm;Ranitidina (Ub);1569255281 Ranitidina;
788;Ubermetrics;Ratiopharm;RatioPharm (Ub);1354548392 1. Ratiopharm;31/12/2020 10:24
787;Ubermetrics;Ratiopharm;Redes Sociales (Ub);1379497279 Redes Sociales;31/12/2020 10:25
813;Ubermetrics;Ratiopharm;Sector (Ub);1359452043 7. Sector genérico;
816;Ubermetrics;Ratiopharm;Sector Esclerosis Mutliple (Ub);1485939675 Sector Mieloma;
815;Ubermetrics;Ratiopharm;Sector Mieloma (Ub);1485939675 Sector Mieloma;
814;Ubermetrics;Ratiopharm, TEVA;Teva Woman Health (Ub);1355219677 5. Teva;
899;Ubermetrics;Real Academia de Ciencias Exactas, Físicas y Naturales;Empresa (Ub);1604394894 1. Empresa;
888;Ubermetrics;Ruber Internacional Epilepsia;Empresa (Ub);1580810231 1. Empresa;
889;Ubermetrics;SECPRE;Empresa (Ub);1583752457 1. Empresa;
891;Ubermetrics;SECPRE;Sector (Ub);1583752458 2. Sector;
897;Ubermetrics;SEFF;Empresa (Ub);1604393814 1. Empresa;
898;Ubermetrics;SEFF;Sector (Ub);1604393814 1. Empresa;
901;Ubermetrics;Simposio TTD;Empresa (Ub);1607942527 1. Empresa;
829;Ubermetrics;Sociedad Española de Endocrinología y Nutrición (SEEN);Sector Salud mental y adicciones (Ub);1452590618 Sector Salud mental y adicciones;
828;Ubermetrics;Sociedad Española de Endocrinología y Nutrición (SEEN);SEEN (Ub);1415897916 3. SEEN;
865;Ubermetrics;Sociedad Española de Farmacología Clínica (SEFC);Competencia (Ub);1453278456 3. Competencia;
864;Ubermetrics;Sociedad Española de Farmacología Clínica (SEFC);Empresa (Ub);1453278454 1. Empresa;
831;Ubermetrics;Sociedad Española de Medicina de Laboratorio (SEQC<sup>ML</sup>);Sector (Ub);1359646069 2. Sector;
830;Ubermetrics;Sociedad Española de Medicina de Laboratorio (SEQC<sup>ML</sup>);SEQC (Ub);1359646068 1. SEQC;
851;Ubermetrics;Sociedad Europea de Oncología Médica (ESMO);Empresa (Ub);1431419115 1. Empresa;
852;Ubermetrics;Sociedad Europea de Oncología Médica (ESMO);Sector (Ub);1431419116 2. Sector;
793;Ubermetrics;TEVA;TEVA (Ub);1355219677 5. Teva;31/12/2020 08:41
900;Ubermetrics;Wellspect;Empresa (Ub);1605026091 1. Empresa;
